A|A|113|20230201|20230228|20230309|999|SISTEMA SAC         
A|B|074|000|PE|PC|II|EC|EI|SC|SI
E|C|074|000|20230224|20230222|NFE |147|016405|P|00000113|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000002|0000000120490|0000000000000|0000000000000|0000000000000|       |F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|C|074|000|20230211|20230209|NFE |1  |082968|V|00000166|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000002|0000000015750|0000000000000|0000000000000|0000000000000|       |F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|01891     |1403  |060|0000000006000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000004260|0000000000000|0000000004260|      |CM|001|F|166|23022023|11022023|82968|00000000000|00000000000|1
E|I|07119     |1403  |060|0000000003000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000006750|0000000000000|0000000006750|      |CM|001|F|166|23022023|11022023|82968|00000000000|00000000000|1
E|I|01890     |1403  |060|0000000006000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000004740|0000000000000|0000000004740|      |CM|001|F|166|23022023|11022023|82968|00000000000|00000000000|1
E|C|074|000|20230218|20230216|NFE |1  |083538|V|00000166|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000002|0000000094350|0000000000000|0000000000000|0000000000000|       |F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|01891     |1403  |060|0000000018000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000012780|0000000000000|0000000012780|      |CM|001|F|166|23022023|18022023|83538|00000000000|00000000000|1
E|I|04503     |1403  |060|0000000036000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000046440|0000000000000|0000000046440|      |CM|001|F|166|23022023|18022023|83538|00000000000|00000000000|1
E|I|07119     |1403  |060|0000000005000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000011250|0000000000000|0000000011250|      |CM|001|F|166|23022023|18022023|83538|00000000000|00000000000|1
E|I|07234     |1403  |060|0000000048000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000014400|0000000000000|0000000014400|      |CM|001|F|166|23022023|18022023|83538|00000000000|00000000000|1
E|I|01890     |1403  |060|0000000012000|00000000000|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000009480|0000000000000|0000000009480|      |CM|001|F|166|23022023|18022023|83538|00000000000|00000000000|1
E|C|074|000|20230202|20230131|NFE |33 |085387|P|00000054|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000002|0000000563591|0000000000000|0000000000000|0000000000000|       |F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|00049     |1403  |010|0000000008000|00000006815|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000054521|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|00045     |1403  |010|0000000010000|00000007518|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000075177|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|00092     |1403  |010|0000000005000|00000003804|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000019020|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|00344     |1403  |010|0000000002000|00000004306|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000008612|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|00351     |1403  |010|0000000001000|00000010017|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000010017|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|00561     |1403  |010|0000000008000|00000005811|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000046491|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|01046     |1403  |010|0000000005000|00000008521|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000042607|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|01252     |1403  |010|0000000002000|00000013472|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000026943|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|01253     |1403  |010|0000000003000|00000003527|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000010581|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|01372     |1403  |010|0000000002000|00000004792|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000009583|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|01377     |1403  |010|0000000020000|00000003132|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000062631|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|02451     |1403  |010|0000000006000|00000007016|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000042095|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|04970     |1403  |010|0000000020000|00000004005|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000080095|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|05420     |1403  |010|0000000002000|00000004170|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000008339|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|05796     |1403  |010|0000000001000|00000015399|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000015399|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|06597     |1403  |010|0000000004000|00000008522|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000034086|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|06864     |1403  |010|0000000004000|00000003272|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000013088|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|I|02765     |1403  |510|0000000001000|00000004306|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000004306|      |CM|001|F|54|23022023|02022023|85387|00000000000|00000000000|33
E|C|074|000|20230209|20230207|NFE |33 |088777|P|00000054|0000000000000|0000000000000|0000000000000|0000000000000|1|0000000000000|0000000000000|0000000000000|N|                                                            |      |0000000000|00000000|00000002|0000000766724|0000000000000|0000000000000|0000000000000|       |F|PR|001|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000
E|I|01551     |1403  |010|0000000001000|00000005183|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000005183|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|01934     |1403  |010|0000000002000|00000005763|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000011525|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|02206     |1403  |010|0000000002000|00000006267|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000012534|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|02208     |1403  |010|0000000003000|00000006267|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000018801|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|04456     |1403  |010|0000000004000|00000003277|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000013109|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|04970     |1102  |010|0000000011000|00000004011|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000044123|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|04970     |1403  |010|0000000020000|00000004011|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000080223|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|05624     |1403  |010|0000000010000|00000003774|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000037739|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|05867     |1403  |010|0000000004000|00000005017|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000020066|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|06002     |1403  |010|0000000004000|00000003277|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000013109|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|06244     |1403  |010|0000000004000|00000004216|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000016865|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|06410     |1403  |010|0000000005000|00000011400|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000057001|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|06430     |1403  |010|0000000003000|00000007027|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000021081|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|06556     |1403  |010|0000000002000|00000004048|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000008095|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|06636     |1403  |010|0000000010000|00000004210|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000042102|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|07554     |1403  |010|0000000002000|00000010829|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000021658|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
E|I|00006     |1403  |010|0000000015000|00000004192|0000000000000|0000000000000|0000000000000|0000000000000|00000|0000000000000|0000000000000|0000000000000|0000000000000|0000000062882|      |CM|001|F|54|23022023|09022023|88777|00000000000|00000000000|33
