A|A|113|20200601|20200630|20200708|999|SISTEMA SAC         
C|C|543  |ARARAQUARA                              |SP|    |0000000|        01058035032080000000
C|C|544  |JUAZEIRO                                |BA|    |0000000|        01058029184070000000
C|C|545  |TOCANTINOPOLIS                          |TO|    |0000000|        01058017212080000000
C|C|546  |CURITIBANOS                             |SC|    |0000000|        01058042048060000000
C|C|547  |SEVERINIA                               |SP|    |0000000|        01058035519000000000
C|C|548  |VILA RICA                               |MT|    |0000000|        01058051086000000000
C|C|549  |Aguiarnopolis                           |TO|    |0000000|        01058017003010000000
C|C|550  |CONFRESA                                |MT|    |0000000|        01058051033530000000
C|C|551  |ITUIUTABA                               |MG|    |0000000|        01058031342020000000
C|C|552  |MACAIBA                                 |RN|    |0000000|        01058024071040000000
C|C|553  |PINDAMONHANGABA                         |SP|    |0000000|        01058035380060000000
C|C|554  |ITAPETININGA                            |SP|    |0000000|        01058035223070000000
C|C|555  |RECIFE                                  |PE|    |0000000|        01058026116060000000
C|C|556  |SORRISO                                 |MT|    |0000000|        01058051079250000000
C|C|557  |Maracaju                                |MS|    |0000000|        01058050054000000000
C|C|558  |Santa Maria                             |RS|    |0000000|        01058043169070000000
C|C|559  |MIRANDA                                 |MS|    |0000000|        01058050056080000000
C|C|560  |Pouso Redondo                           |SC|    |0000000|        01058042137080000000
C|C|561  |Içara                                   |SC|    |0000000|        01058042070070000000
C|C|562  |Pariquera-Açu                           |SP|    |0000000|        01058035362080000000
C|C|563  |AFONSO CLAUDIO                          |ES|    |0000000|        01058032001020000000
C|C|564  |EUSEBIO                                 |CE|    |0000000|        01058023042850000000
C|C|565  |BARBALHA                                |CE|    |0000000|        01058023019010000000
C|C|566  |JUAZEIRO DO NORTE                       |CE|    |0000000|        01058023073040000000
C|C|567  |SANTO INACIO                            |PR|    |0000000|        01058041245090000000
C|C|568  |LAGOA                                   |PB|    |0000000|        01058025081090000000
C|C|569  |TABULEIRO DO NORTE                      |CE|    |0000000|        01058023131040000000
C|C|570  |MARACANAU                               |CE|    |0000000|        01058023076500000000
C|C|571  |NOVA GRANADA                            |SP|    |0000000|        01058035330070000000
C|C|572  |Itatim                                  |BA|    |0000000|        01058029168560000000
C|C|573  |OLINDA                                  |PE|    |0000000|        01058026096000000000
C|C|574  |SANTA RITA DO ARAGUIAIA                 |GO|    |0000000|        01058052194070000000
C|C|575  |FRANCISCO SA                            |MG|    |0000000|        01058031267030000000
C|C|576  |Sao Caitano                             |PE|    |0000000|        01058026131070000000
C|C|577  |UNIAO DO OESTE                          |SC|    |0000000|        01058042188550000000
C|C|578  |CAUCAIA                                 |CE|    |0000000|        01058023037090000000
C|C|579  |Queluz                                  |SP|    |0000000|        01058031538060000000
C|C|580  |Santo Antonio Da Platina                |PR|    |0000000|        01058041241030000000
C|C|581  |Divino                                  |MG|    |0000000|        01058031220090000000
C|C|582  |Nova Andradina                          |MS|    |0000000|        01058050062000000000
C|C|583  |Rio Verde                               |GO|    |0000000|        01058031177020000000
C|C|584  |Igrejinha                               |RS|    |0000000|        01058043101080000000
C|C|585  |Sao Bernardino                          |SC|    |0000000|        01058042157520000000
C|C|586  |Crissiumal                              |RS|    |0000000|        01058043060070000000
C|C|587  |PARAISOPOLIS                            |MG|    |0000000|        01058031473030000000
C|C|588  |CORUPA                                  |SC|    |0000000|        01058042045090000000
C|C|589  |ARUJA                                   |SP|    |0000000|        01058035039010000000
C|C|590  |SANTA MARGARIDA                         |MG|    |0000000|        01058041185010000000
C|C|591  |MORRO DA FUMACA                         |SC|    |0000000|        01058041185010000000
C|C|592  |PALMAS                                  |TO|    |0000000|        01058041185010000000
C|C|593  |MONTE SANTO DE MINAS                    |MG|    |0000000|        01058041185010000000
C|C|594  |PEDRAS ALTAS                            |RS|    |0000000|        01058041185010000000
